adult,gender,id,known_for_department,name,original_name,popularity,profile_path,character,credit_id,order,episodeId,seasonNumber,episodeNumber
False,2,73457,Acting,Chris Pratt,Chris Pratt,9.574,/gXKyT1YU5RWWPaE1je3ht58eUZr.jpg,Andy Dwyer,573cfbb6c3a3681b23000225,5,2659248,0,13
False,1,75318,Acting,Retta,Retta,4.366,/bIo8tjdn48wIPEdcJ0UCqqTzClV.jpg,Donna,525791e5760ee36aaa6e4730,9,2659248,0,13
False,1,56322,Acting,Amy Poehler,Amy Poehler,1.275,/k62oL10bNtPShjtHuLlKllwxva9.jpg,Leslie Knope,525791e5760ee36aaa6e4634,0,397621,1,1
False,1,80591,Acting,Rashida Jones,Rashida Jones,4.829,/cgWGm9eYCretBWeljPVtpRV7n6V.jpg,Ann Perkins,525791e5760ee36aaa6e460a,1,397621,1,1
False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,Tom Haverford,525791e5760ee36aaa6e465e,2,397621,1,1
False,2,15684,Acting,Paul Schneider,Paul Schneider,2.068,/69tLX644rRr1RT9gxajsWlNrf0Y.jpg,Mark Brendanawicz,5dfa9c7f6097500021337a9d,2,397621,1,1
False,2,17039,Acting,Nick Offerman,Nick Offerman,4.808,/7gnfjpIKhBCjfnZJEieIvjwzXLD.jpg,Ron Swanson,525791e5760ee36aaa6e4688,3,397621,1,1
False,1,119592,Acting,Aubrey Plaza,Aubrey Plaza,7.118,/kax66Zjf6fo5XdjhWmxocxdOLeb.jpg,April Ludgate,525791e5760ee36aaa6e46b2,4,397621,1,1
False,1,56322,Acting,Amy Poehler,Amy Poehler,1.275,/k62oL10bNtPShjtHuLlKllwxva9.jpg,Leslie Knope,525791e5760ee36aaa6e4634,0,397622,1,2
False,1,80591,Acting,Rashida Jones,Rashida Jones,4.829,/cgWGm9eYCretBWeljPVtpRV7n6V.jpg,Ann Perkins,525791e5760ee36aaa6e460a,1,397622,1,2
False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,Tom Haverford,525791e5760ee36aaa6e465e,2,397622,1,2
False,2,15684,Acting,Paul Schneider,Paul Schneider,2.068,/69tLX644rRr1RT9gxajsWlNrf0Y.jpg,Mark Brendanawicz,5dfa9c7f6097500021337a9d,2,397622,1,2
False,2,17039,Acting,Nick Offerman,Nick Offerman,4.808,/7gnfjpIKhBCjfnZJEieIvjwzXLD.jpg,Ron Swanson,525791e5760ee36aaa6e4688,3,397622,1,2
False,1,119592,Acting,Aubrey Plaza,Aubrey Plaza,7.118,/kax66Zjf6fo5XdjhWmxocxdOLeb.jpg,April Ludgate,525791e5760ee36aaa6e46b2,4,397622,1,2
False,1,56322,Acting,Amy Poehler,Amy Poehler,1.275,/k62oL10bNtPShjtHuLlKllwxva9.jpg,Leslie Knope,525791e5760ee36aaa6e4634,0,397623,1,3
False,1,80591,Acting,Rashida Jones,Rashida Jones,4.829,/cgWGm9eYCretBWeljPVtpRV7n6V.jpg,Ann Perkins,525791e5760ee36aaa6e460a,1,397623,1,3
False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,Tom Haverford,525791e5760ee36aaa6e465e,2,397623,1,3
False,2,15684,Acting,Paul Schneider,Paul Schneider,2.068,/69tLX644rRr1RT9gxajsWlNrf0Y.jpg,Mark Brendanawicz,5dfa9c7f6097500021337a9d,2,397623,1,3
False,2,17039,Acting,Nick Offerman,Nick Offerman,4.808,/7gnfjpIKhBCjfnZJEieIvjwzXLD.jpg,Ron Swanson,525791e5760ee36aaa6e4688,3,397623,1,3
False,1,119592,Acting,Aubrey Plaza,Aubrey Plaza,7.118,/kax66Zjf6fo5XdjhWmxocxdOLeb.jpg,April Ludgate,525791e5760ee36aaa6e46b2,4,397623,1,3
False,1,56322,Acting,Amy Poehler,Amy Poehler,1.275,/k62oL10bNtPShjtHuLlKllwxva9.jpg,Leslie Knope,525791e5760ee36aaa6e4634,0,397624,1,4
False,1,80591,Acting,Rashida Jones,Rashida Jones,4.829,/cgWGm9eYCretBWeljPVtpRV7n6V.jpg,Ann Perkins,525791e5760ee36aaa6e460a,1,397624,1,4
False,2,86626,Acting,Aziz Ansari,Aziz Ansari,2.002,/yUeQHM4ycUXrUgRWgKVYKNmKxfJ.jpg,Tom Haverford,525791e5760ee36aaa6e465e,2,397624,1,4
False,2,15684,Acting,Paul Schneider,Paul Schneider,2.068,/69tLX644rRr1RT9gxajsWlNrf0Y.jpg,Mark Brendanawicz,5dfa9c7f6097500021337a9d,2,397624,1,4
False,2,17039,Acting,Nick Offerman,Nick Offerman,4.808,/7gnfjpIKhBCjfnZJEieIvjwzXLD.jpg,Ron Swanson,525791e5760ee36aaa6e4688,3,397624,1,4
False,1,119592,Acting,Aubrey Plaza,Aubrey Plaza,7.118,/kax66Zjf6fo5XdjhWmxocxdOLeb.jpg,April Ludgate,525791e5760ee36aaa6e46b2,4,397624,1,4
False,1,56322,Acting,Amy Poehler,Amy Poehler,1.275,/k62oL10bNtPShjtHuLlKllwxva9.jpg,Leslie Knope,525791e5760ee36aaa6e4634,0,397625,1,5
False,1,80591,Acting,Rashida Jones,Rashida Jones,4.829,/cgWGm9eYCretBWeljPVtpRV7n6V.jpg,Ann Perkins,525791e5760ee36aaa6e460a,1,397625,1,5
