job,department,credit_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Director,Directing,553a3f12c3a3684c5b004ccd,False,1,87673,Directing,Beth McCarthy-Miller,Beth McCarthy-Miller,1.4,/AdsQpucZeQSiZsP3UCQTq8kAdkR.jpg,1045386,1,11
Director,Directing,553a41459251413f5a003bab,False,0,1216499,Directing,Ken Wittingham,Ken Wittingham,0.6,,1045387,1,12
Writer,Writing,553a4154925141125600795b,False,0,1458558,Writing,Emily Altman,Emily Altman,0.6,,1045387,1,12
Writer,Writing,553a3f2592514168740012bb,False,2,1213739,Writing,Jack Burditt,Jack Burditt,0.828,/2g9EPFt6LbhazHQZNdIJE1TXwac.jpg,1045387,1,12
Writer,Writing,553a3ecbc3a3684022001441,False,2,1230181,Writing,Sam Means,Sam Means,0.98,,1045388,1,13
Director,Directing,5526f9a0c3a3687df3004af7,False,2,1220517,Directing,Tristram Shapeero,Tristram Shapeero,1.62,,1045388,1,13
Writer,Writing,5526f9589251415785000286,False,2,1224760,Writing,Robert Carlock,Robert Carlock,1.162,,1045388,1,13
Director,Directing,5526f9a0c3a3687df3004af7,False,2,1220517,Directing,Tristram Shapeero,Tristram Shapeero,1.62,,1173986,2,1
Writer,Writing,5526f94bc3a36857ae002ad6,False,1,56323,Acting,Tina Fey,Tina Fey,5.14,/yPTAi1iucXf85UpiFPtyiTSM6do.jpg,1173986,2,1
Director,Directing,553a40bec3a3683c48000123,False,2,56325,Production,Jeff Richmond,Jeff Richmond,0.6,,1186431,2,2
Writer,Writing,5526f9589251415785000286,False,2,1224760,Writing,Robert Carlock,Robert Carlock,1.162,,1186431,2,2
Writer,Writing,553a3ecbc3a3684022001441,False,2,1230181,Writing,Sam Means,Sam Means,0.98,,1186432,2,3
Director,Directing,553a3fb7c3a3685cf800357f,False,1,1214860,Directing,Linda Mendoza,Linda Mendoza,0.851,,1186432,2,3
Writer,Writing,553a3fc5925141275e003266,False,0,1230201,Writing,Allison Silverman,Allison Silverman,0.6,,1186433,2,4
Director,Directing,5e70e08fcedac400134f3275,False,2,1224760,Writing,Robert Carlock,Robert Carlock,1.162,,1186433,2,4
Writer,Writing,5e70e1ed2f3b17001147fd6c,False,2,74356,Writing,Josh Siegal,Josh Siegal,1.38,/nArp3Xx33u9SXeftDx40GqDcQ33.jpg,1186434,2,5
Writer,Writing,5e70e204f9aa470017cefe7e,False,2,74357,Writing,Dylan Morgan,Dylan Morgan,0.677,,1186434,2,5
Director,Directing,5e70e1df357c000016468a4f,False,2,1212689,Directing,Ken Whittingham,Ken Whittingham,2.628,/tu5mskTc5wEvCzSyQJHPKKTcETI.jpg,1186434,2,5
Writer,Writing,553a400692514138a90045a0,False,2,1526,Writing,Danny Rubin,Danny Rubin,0.6,,1186435,2,6
Director,Directing,5e70e35ab1f68d0017db5e02,False,2,17825,Directing,Shawn Levy,Shawn Levy,4.215,/b1ulkCHz8biG87LjLQQiMCebEZo.jpg,1186435,2,6
Director,Directing,5e70e434b1f68d0017db5f22,False,1,465763,Directing,Maggie Carey,Maggie Carey,0.98,,1186436,2,7
Writer,Writing,5e70e43d2f3b170019485b62,False,0,1377192,Writing,Leila Strachan,Leila Strachan,0.6,,1186436,2,7
Writer,Writing,553a3ecbc3a3684022001441,False,2,1230181,Writing,Sam Means,Sam Means,0.98,,1186437,2,8
Writer,Writing,5526f94bc3a36857ae002ad6,False,1,56323,Acting,Tina Fey,Tina Fey,5.14,/yPTAi1iucXf85UpiFPtyiTSM6do.jpg,1186437,2,8
Director,Directing,5e70e517b1f68d0017db5fea,False,2,884,Acting,Steve Buscemi,Steve Buscemi,10.733,/lQKdHMxfYcCBOvwRKBAxPZVNtkg.jpg,1186437,2,8
Writer,Writing,553a406e9251413f5a003b95,False,1,1217212,Writing,Meredith Scardino,Meredith Scardino,0.6,,1186438,2,9
Director,Directing,5e70e5e1b1f68d0014db1f47,False,1,1296522,Directing,Claire Scanlon,Claire Scanlon,1.22,/6B5tD7ivj7JoYUM5DCtxM4ZRoe9.jpg,1186438,2,9
Writer,Writing,553a4154925141125600795b,False,0,1458558,Writing,Emily Altman,Emily Altman,0.6,,1186439,2,10
Writer,Writing,5526f9589251415785000286,False,2,1224760,Writing,Robert Carlock,Robert Carlock,1.162,,1186439,2,10
Director,Directing,5e70e6e02f3b17001948602a,False,0,2569136,Directing,John Riggi,John Riggi,0.6,,1186439,2,10
Director,Directing,5526f9a0c3a3687df3004af7,False,2,1220517,Directing,Tristram Shapeero,Tristram Shapeero,1.62,,1186440,2,11
Writer,Writing,5e70e1ed2f3b17001147fd6c,False,2,74356,Writing,Josh Siegal,Josh Siegal,1.38,/nArp3Xx33u9SXeftDx40GqDcQ33.jpg,1186440,2,11
Writer,Writing,5e70e204f9aa470017cefe7e,False,2,74357,Writing,Dylan Morgan,Dylan Morgan,0.677,,1186440,2,11
Writer,Writing,553a40d1925141651800b2c9,False,0,1458554,Writing,Azie Dungey,Azie Dungey,0.6,,1186441,2,12
Writer,Writing,553a400692514138a90045a0,False,2,1526,Writing,Danny Rubin,Danny Rubin,0.6,,1186441,2,12
Director,Directing,553a3f12c3a3684c5b004ccd,False,1,87673,Directing,Beth McCarthy-Miller,Beth McCarthy-Miller,1.4,/AdsQpucZeQSiZsP3UCQTq8kAdkR.jpg,1186441,2,12
Director,Directing,553a3ff5c3a36831dd009d62,False,2,1219201,Directing,Michael Engler,Michael Engler,1.502,,1186442,2,13
Writer,Writing,553a3ecbc3a3684022001441,False,2,1230181,Writing,Sam Means,Sam Means,0.98,,1186442,2,13
Writer,Writing,5526f94bc3a36857ae002ad6,False,1,56323,Acting,Tina Fey,Tina Fey,5.14,/yPTAi1iucXf85UpiFPtyiTSM6do.jpg,1186442,2,13
Writer,Writing,553a406e9251413f5a003b95,False,1,1217212,Writing,Meredith Scardino,Meredith Scardino,0.6,,1279809,3,1
Director,Directing,5526f9a0c3a3687df3004af7,False,2,1220517,Directing,Tristram Shapeero,Tristram Shapeero,1.62,,1279809,3,1
