character,credit_id,order,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Titus's Manager,5e6e5bbfcabfe4001314ee05,118,False,0,1691798,Acting,George Demas,George Demas,0.6,,1045385,1,10
Guido Guy,5e6e5bcc357c00001143841c,119,False,0,2567271,Acting,James Dicarlo,James Dicarlo,0.6,,1045385,1,10
Muscular Man,5e6e5bd7a9b9a40014a19c24,120,False,2,218619,Acting,Jasson Finney,Jasson Finney,0.6,,1045385,1,10
Puppeteer #3,5e6e5be2cabfe4001314ee11,121,False,2,360193,Acting,Peter Linz,Peter Linz,0.996,/hQZzWLqAK1sf45ddLCMh6Yuiaai.jpg,1045385,1,10
Puppeteer #1,5e6e5bf8cabfe40011152b8d,122,False,2,1214549,Acting,Noel MacNeal,Noel MacNeal,1.4,/ndTYKKf9HpwRjVVOSX3XS1xej55.jpg,1045385,1,10
Hu Zha Qi,5e6e5c04357c00001943f401,123,False,0,1357100,Acting,Phil Nee,Phil Nee,0.828,,1045385,1,10
ICE Officer,5e6e5c56cabfe4001314ef4a,124,False,0,2567272,Acting,Jeff Williams,Jeff Williams,0.6,/t7QUPVx7sLbJSp6LmFzq8PnUNzL.jpg,1045385,1,10
Puppeteer #2,5e6e5c64357c00001143849d,125,False,0,2567273,Acting,James Wojtal,James Wojtal,0.6,/oUEE9dFiqdKefvMWlmX7aKsMFAU.jpg,1045385,1,10
Dong Nguyen,5910f7ec9251414eca036d57,233,False,2,1310760,Acting,Ki Hong Lee,Ki Hong Lee,3.138,/96zkB3e07LB1hw2segekZS1PlQb.jpg,1045385,1,10
Gary Dubbin,5910f9c6c3a368650a036dc8,235,False,2,19978,Acting,Jason Kravits,Jason Kravits,2.601,/cJR2IntcqNtpMU7iqiHBUAHx6HA.jpg,1045385,1,10
Buckley Voorhees,5910ec9a9251414e8d036c64,420,False,2,1395003,Acting,Tanner Flood,Tanner Flood,0.6,,1045385,1,10
