job,department,credit_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Director,Directing,5e9b1689fd6fa1001d01fc9c,False,2,57115,Directing,Victor Nelli Jr.,Victor Nelli Jr.,1.55,,1022918,2,13
Writer,Writing,5e9af7bf3103250021c6e7c1,False,2,1215424,Writing,Norm Hiscock,Norm Hiscock,0.6,,1022918,2,13
Writer,Writing,5ecf219f96386400236c1052,False,0,2358431,Production,Brigitte Liebowitz,Brigitte Liebowitz,0.6,,1022918,2,13
Director,Directing,5cd408d392514103043b4690,False,1,59466,Directing,Jamie Babbit,Jamie Babbit,1.921,/zySwCaK5XLylqpiJ4l2VhdO6Dw5.jpg,1032003,2,14
Writer,Writing,5e9af815fd6fa1001d01d534,False,2,1535915,Production,Prentice Penny,Prentice Penny,0.6,/kQQOYuPHEN5p9DLgdVyx739fGrY.jpg,1032003,2,14
Writer,Writing,5ecf21b621c4ca0020dd741f,False,2,1217071,Writing,Matt O'Brien,Matt O'Brien,0.6,,1032003,2,14
Writer,Writing,5cc6363892514119e5f47e16,False,0,1304330,Acting,Gabe Liedman,Gabe Liedman,0.6,/g6Gy1mjXsAZx2YmyWCRuVGBCpbV.jpg,1037113,2,15
Director,Directing,5e9af754e22d28001d5f8aeb,False,2,154521,Directing,Craig Zisk,Craig Zisk,1.4,/1WTt2jjxDwT0ngzrpO02VZYZDYV.jpg,1037113,2,15
Director,Directing,58084817c3a36874ca003778,False,1,1296522,Directing,Claire Scanlon,Claire Scanlon,1.22,/6B5tD7ivj7JoYUM5DCtxM4ZRoe9.jpg,1038357,2,16
Writer,Writing,5e9afaccfd6fa1002401dfe6,False,1,1215720,Writing,Laura McCreary,Laura McCreary,0.6,,1038357,2,16
Director,Directing,5e9b1285e22d28001b5fa5da,False,2,1290146,Directing,Dean Holland,Dean Holland,0.6,,1041361,2,17
Writer,Writing,5ecf21b621c4ca0020dd741f,False,2,1217071,Writing,Matt O'Brien,Matt O'Brien,0.6,,1041361,2,17
Director,Directing,5cd407b00e0a265e0960d445,False,2,1113994,Directing,Eric Appel,Eric Appel,0.6,,1042433,2,18
Writer,Writing,5e9af6e3076ce8001f2caa16,False,2,2489947,Writing,dg,dg,0.6,,1042433,2,18
Writer,Writing,5ea99a49426ae800264a34cc,False,2,1236857,Writing,Brian Reich,Brian Reich,0.6,,1043567,2,19
Director,Directing,5ece05075c071b001c2711a6,False,2,84074,Directing,Jay Karas,Jay Karas,1.4,/yAvTNXjN80gLXxRbfA9Ha2ZzYxW.jpg,1043567,2,19
Director,Directing,5b80b21e0e0a264586003d16,False,1,1214860,Directing,Linda Mendoza,Linda Mendoza,0.851,,1050494,2,20
Writer,Writing,5ecf2325e61e6d001eccae94,False,0,2657296,Writing,Kylie Condon,Kylie Condon,0.6,,1050494,2,20
Director,Directing,5cc63e95c3a3684936827ddd,False,0,1347462,Directing,Michael McDonald,Michael McDonald,0.6,/yta7EXnjgdDlp5GCGKmR8VbdkHn.jpg,1052898,2,21
Writer,Writing,5cc6363892514119e5f47e16,False,0,1304330,Acting,Gabe Liedman,Gabe Liedman,0.6,/g6Gy1mjXsAZx2YmyWCRuVGBCpbV.jpg,1052898,2,21
Writer,Writing,5e9b13aa4a4bfc0023d4d755,False,0,2431449,Writing,Lakshmi Sundaram,Lakshmi Sundaram,0.6,,1052898,2,21
Writer,Writing,5846461fc3a36847f901ee2c,False,0,1718778,Writing,Tricia McAlpin,Tricia McAlpin,1.313,/7DOeNEgm6CzudterXEPlunXOEsg.jpg,1053440,2,22
Writer,Writing,58464fe2c3a36844c000ab18,False,0,164565,Writing,David Phillips,David Phillips,0.6,,1053440,2,22
Director,Directing,5ece049a3dc313001fc74163,False,2,78562,Directing,Phil Traill,Phil Traill,0.6,/iZkcjNJHxi24NJmaIUL0mb1qZXy.jpg,1053440,2,22
Writer,Writing,5c492462c3a368478989af31,False,2,1237540,Production,Luke Del Tredici,Luke Del Tredici,1.788,,1054900,2,23
Director,Directing,5e9b1285e22d28001b5fa5da,False,2,1290146,Directing,Dean Holland,Dean Holland,0.6,,1054900,2,23
Director,Directing,5ece0bdce4b576001f2a59e8,False,2,1226308,Creator,Michael Schur,Michael Schur,2.206,/uFqjvTHNCfThf9ahEIYWFkszm9c.jpg,1097832,3,1
Writer,Writing,5ecf243b528b2e001e650aeb,False,2,1267201,Writing,Matt Murray,Matt Murray,0.84,,1097832,3,1
Director,Directing,58084817c3a36874ca003778,False,1,1296522,Directing,Claire Scanlon,Claire Scanlon,1.22,/6B5tD7ivj7JoYUM5DCtxM4ZRoe9.jpg,1097833,3,2
Writer,Writing,5c492462c3a368478989af31,False,2,1237540,Production,Luke Del Tredici,Luke Del Tredici,1.788,,1097833,3,2
Writer,Writing,5846461fc3a36847f901ee2c,False,0,1718778,Writing,Tricia McAlpin,Tricia McAlpin,1.313,/7DOeNEgm6CzudterXEPlunXOEsg.jpg,1107199,3,3
Director,Directing,58464606c3a36844df01eeb0,False,2,1539690,Directing,Trent O'Donnell,Trent O'Donnell,0.84,,1107199,3,3
Director,Directing,5cc63e95c3a3684936827ddd,False,0,1347462,Directing,Michael McDonald,Michael McDonald,0.6,/yta7EXnjgdDlp5GCGKmR8VbdkHn.jpg,1110048,3,4
