department,job,credit_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Writing,Writer,52573092760ee3776a3424e9,False,2,1230848,Writing,Halsted Sullivan,Halsted Sullivan,0.6,,170274,7,10
Directing,Director,52573084760ee3776a340fa4,False,2,157771,Directing,Charles McDougall,Charles McDougall,1.4,/ty4SFTBrT7g2j9ywxuwCbpmKdND.jpg,170274,7,10
Writing,Writer,5257307d760ee3776a3401b0,False,1,125167,Acting,Mindy Kaling,Mindy Kaling,3.597,/xa8dwrTPaGc3PJ9GmT02ymJEX7l.jpg,170285,7,11
Directing,Director,52573093760ee3776a342599,False,2,11678,Acting,Rainn Wilson,Rainn Wilson,2.238,/lmy5NQsrTlbsyTrQw30gsKCZbWm.jpg,170285,7,11
Writing,Writer,5257307d760ee3776a3401b0,False,1,125167,Acting,Mindy Kaling,Mindy Kaling,3.597,/xa8dwrTPaGc3PJ9GmT02ymJEX7l.jpg,170284,7,12
Directing,Director,52573093760ee3776a342599,False,2,11678,Acting,Rainn Wilson,Rainn Wilson,2.238,/lmy5NQsrTlbsyTrQw30gsKCZbWm.jpg,170284,7,12
Directing,Director,52573090760ee3776a342209,False,2,107770,Acting,B.J. Novak,B.J. Novak,1.706,/qsngFvN1tMvyu84atOPPsbLJc5M.jpg,170276,7,14
Writing,Writer,525730a4760ee3776a343bba,False,0,1217228,Writing,Steve Hely,Steve Hely,0.6,,170276,7,14
Directing,Director,525730a4760ee3776a343c2c,False,2,65506,Directing,Michael Spiller,Michael Spiller,1.276,/qpK5EijOHIjGpFMSdHsEXOV8v53.jpg,170278,7,15
Writing,Writer,5257308b760ee3776a341959,False,2,1216619,Writing,Brent Forrester,Brent Forrester,1.021,,170278,7,15
Directing,Director,5257307d760ee3776a34036d,False,2,1216630,Writing,Greg Daniels,Greg Daniels,1.4,/2Hi7Tw0fyYFOZex8BuGsHS8Q4KD.jpg,170279,7,16
Writing,Writer,5257307f760ee3776a340702,False,2,107770,Acting,B.J. Novak,B.J. Novak,1.706,/qsngFvN1tMvyu84atOPPsbLJc5M.jpg,170265,7,17
Directing,Director,5257308b760ee3776a341869,False,2,1212609,Directing,Tucker Gates,Tucker Gates,2.823,/fZTqgwbg6VWMz3VwoGrtMocg2xV.jpg,170265,7,17
Directing,Director,5257308a760ee3776a3417cf,False,2,1215572,Directing,Randall Einhorn,Randall Einhorn,1.189,,170282,7,18
Writing,Writer,525730a4760ee3776a343a95,False,2,239,Writing,Jon Vitti,Jon Vitti,2.478,/yoljNk80dUPs5sftsPHiDf31kQ9.jpg,170280,7,19
Directing,Director,52573090760ee3776a342018,False,2,1213125,Writing,Paul Lieberstein,Paul Lieberstein,2.841,/oLCaNVAw5cfE5q4e0PRsmHTuHfd.jpg,170283,7,20
Writing,Writer,52573093760ee3776a3426d7,False,2,1216625,Writing,Daniel Chun,Daniel Chun,1.4,/vEve4iO4pGsidxdjMdhoGL0BNWA.jpg,170283,7,20
Writing,Writer,5257307d760ee3776a3401b0,False,1,125167,Acting,Mindy Kaling,Mindy Kaling,3.597,/xa8dwrTPaGc3PJ9GmT02ymJEX7l.jpg,170289,7,21
Directing,Director,52573093760ee3776a342542,False,1,125167,Acting,Mindy Kaling,Mindy Kaling,3.597,/xa8dwrTPaGc3PJ9GmT02ymJEX7l.jpg,170289,7,21
Directing,Director,52573083760ee3776a340ded,False,2,116805,Directing,Paul Feig,Paul Feig,2.553,/lcD0BkGKWKynUwtPSEDLAsFdIJX.jpg,170281,7,22
Writing,Writer,5257307d760ee3776a340339,False,2,1216630,Writing,Greg Daniels,Greg Daniels,1.4,/2Hi7Tw0fyYFOZex8BuGsHS8Q4KD.jpg,170281,7,22
Directing,Director,52573093760ee3776a342542,False,1,125167,Acting,Mindy Kaling,Mindy Kaling,3.597,/xa8dwrTPaGc3PJ9GmT02ymJEX7l.jpg,170281,7,22
Writing,Writer,52573093760ee3776a3425fb,False,2,1226276,Writing,Charlie Grandy,Charlie Grandy,1.96,,170286,7,23
Directing,Director,525730a6760ee3776a343f3b,False,2,58868,Directing,Troy Miller,Troy Miller,1.48,,170290,7,24
Writing,Writer,5257308f760ee3776a341e7f,False,2,1230847,Writing,Justin Spitzer,Justin Spitzer,0.758,/7LiIHJLBv6Li1lmASD6mrigtKPo.jpg,170290,7,24
Writing,Writer,52573080760ee3776a340878,False,2,1213125,Writing,Paul Lieberstein,Paul Lieberstein,2.841,/oLCaNVAw5cfE5q4e0PRsmHTuHfd.jpg,170287,7,25
Writing,Writer,52573080760ee3776a340878,False,2,1213125,Writing,Paul Lieberstein,Paul Lieberstein,2.841,/oLCaNVAw5cfE5q4e0PRsmHTuHfd.jpg,170288,7,26
Writing,Writer,5257307f760ee3776a340702,False,2,107770,Acting,B.J. Novak,B.J. Novak,1.706,/qsngFvN1tMvyu84atOPPsbLJc5M.jpg,170291,8,1
Directing,Director,52573090760ee3776a342209,False,2,107770,Acting,B.J. Novak,B.J. Novak,1.706,/qsngFvN1tMvyu84atOPPsbLJc5M.jpg,170291,8,1
Writing,Writer,52573080760ee3776a340878,False,2,1213125,Writing,Paul Lieberstein,Paul Lieberstein,2.841,/oLCaNVAw5cfE5q4e0PRsmHTuHfd.jpg,170311,8,2
Directing,Director,52573084760ee3776a340fa4,False,2,157771,Directing,Charles McDougall,Charles McDougall,1.4,/ty4SFTBrT7g2j9ywxuwCbpmKdND.jpg,170311,8,2
Writing,Writer,52573093760ee3776a3425fb,False,2,1226276,Writing,Charlie Grandy,Charlie Grandy,1.96,,170292,8,3
Writing,Writer,5257308f760ee3776a341e7f,False,2,1230847,Writing,Justin Spitzer,Justin Spitzer,0.758,/7LiIHJLBv6Li1lmASD6mrigtKPo.jpg,170292,8,3
Writing,Writer,5257308f760ee3776a341e7f,False,2,1230847,Writing,Justin Spitzer,Justin Spitzer,0.758,/7LiIHJLBv6Li1lmASD6mrigtKPo.jpg,170293,8,4
