character,credit_id,order,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Oscar Martinez,525730ab760ee3776a3449d5,341,False,2,76094,Acting,Oscar Nunez,Oscar Nunez,1.756,/UBILHiRphJdlshvsyH920QSAhk.jpg,2413288,0,16
Andy Bernard,525730ab760ee3776a344ab9,278,False,2,27105,Acting,Ed Helms,Ed Helms,2.362,/gPZ8tZaNQGAc3KZRIPp9rgGbEnN.jpg,170253,0,18
Phyllis Vance,5f512802a055ef00365905e0,332,False,1,169200,Acting,Phyllis Smith,Phyllis Smith,2.258,/h9w9pQbiderRWAC2mi7spjzuIGz.jpg,170253,0,18
Creed Bratton,525730ac760ee3776a344bc5,340,False,2,85177,Acting,Creed Bratton,Creed Bratton,1.15,/72hNnta4igAn2cE6fDyKElHcZ09.jpg,170253,0,18
Kelly Kapoor,525730ac760ee3776a344b7b,340,False,1,125167,Acting,Mindy Kaling,Mindy Kaling,3.597,/xa8dwrTPaGc3PJ9GmT02ymJEX7l.jpg,170253,0,18
Kevin Malone,525730a9760ee3776a3447f1,340,False,2,94622,Acting,Brian Baumgartner,Brian Baumgartner,1.441,/79Z1o3C6smyHlc5geOxpvQgsbOz.jpg,170253,0,18
Oscar Martinez,525730ab760ee3776a3449d5,341,False,2,76094,Acting,Oscar Nunez,Oscar Nunez,1.756,/UBILHiRphJdlshvsyH920QSAhk.jpg,170253,0,18
Angela Martin,525730ab760ee3776a344a0b,341,False,1,113867,Acting,Angela Kinsey,Angela Kinsey,4.251,/wZ12XhSTx0DxCFnpYe2ZmUkrRsv.jpg,170253,0,18
Andy Bernard,525730ab760ee3776a344ab9,278,False,2,27105,Acting,Ed Helms,Ed Helms,2.362,/gPZ8tZaNQGAc3KZRIPp9rgGbEnN.jpg,2413289,0,19
Creed Bratton,525730ac760ee3776a344bc5,340,False,2,85177,Acting,Creed Bratton,Creed Bratton,1.15,/72hNnta4igAn2cE6fDyKElHcZ09.jpg,2413289,0,19
