job,department,credit_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Story,Writing,5aebd0ea0e0a266e230019a5,False,2,1230847,Writing,Justin Spitzer,Justin Spitzer,0.758,/7LiIHJLBv6Li1lmASD6mrigtKPo.jpg,2785635,6,14
Teleplay,Writing,5aebd115c3a36871f700306a,False,2,1217217,Writing,Jonathan Green,Jonathan Green,0.6,,2785635,6,14
Teleplay,Writing,5aebd132c3a3687207001454,False,2,1217219,Writing,Gabe Miller,Gabe Miller,0.6,,2785635,6,14
Director,Directing,5cabc158c3a3687d00b68a37,False,2,57115,Directing,Victor Nelli Jr.,Victor Nelli Jr.,1.55,,2785635,6,14
Writer,Writing,600a8e8ce04d8a003ec40de9,False,1,1215720,Writing,Laura McCreary,Laura McCreary,0.6,,2785635,6,14
Writer,Writing,6021540fccde04003ef30e15,False,2,1416512,Production,Owen Ellickson,Owen Ellickson,0.6,,2785635,6,14
Director,Directing,554da09dc3a3681870000bfe,False,2,91268,Directing,Ruben Fleischer,Ruben Fleischer,1.685,/3JLxOPFTLigSy8FjFjDyMwD9GIp.jpg,2785637,6,15
Story,Writing,5aebd0ea0e0a266e230019a5,False,2,1230847,Writing,Justin Spitzer,Justin Spitzer,0.758,/7LiIHJLBv6Li1lmASD6mrigtKPo.jpg,2785637,6,15
Teleplay,Writing,5aebd115c3a36871f700306a,False,2,1217217,Writing,Jonathan Green,Jonathan Green,0.6,,2785637,6,15
Teleplay,Writing,5aebd132c3a3687207001454,False,2,1217219,Writing,Gabe Miller,Gabe Miller,0.6,,2785637,6,15
