character,credit_id,order,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Shawn,59c70f599251415b28051af2,145,False,2,141956,Acting,Marc Evan Jackson,Marc Evan Jackson,1.698,/4TWP0nlhkxkZ5XzzZuz3RCoZjFX.jpg,1255845,1,12
Mindy St. Claire,5b07c81e925141725900356d,146,False,1,207250,Acting,Maribeth Monroe,Maribeth Monroe,2.059,/l3vMVl0vzOz599zX58jUCPxA8nV.jpg,1255845,1,12
The Real Eleanor,5b07c4230e0a267b690034e3,47,False,1,109046,Acting,Tiya Sircar,Tiya Sircar,3.132,/ySOwYAheNWApnu9TBJkziNthMA6.jpg,1255846,1,13
Bart,59d9636ec3a36862000317f4,53,False,2,167287,Acting,John Hartmann,John Hartmann,1.534,/zCAhxGnsxTKpWB388qDFzDzlil8.jpg,1255846,1,13
Toddrick Hemple (voice),5b07cc950e0a267b69003930,54,False,2,1052684,Acting,Joe Mande,Joe Mande,1.553,/onIBAhW2omltRUOOK8LcYddWXwt.jpg,1255846,1,13
Dave,5b07d5d70e0a267b7e0045a6,92,False,2,1428393,Acting,Braxton Beckham,Braxton Beckham,0.98,/e5kUsktsN8j9lPUeU41FJdx8a2L.jpg,1255846,1,13
Nina,59c71001c3a36814030537bb,93,False,1,1435163,Acting,Monnae Michaell,Monnae Michaell,0.932,/viQRzMcT0ihksIyqx5SVyIzTRAr.jpg,1255846,1,13
Woman in Green,5b07d6089251417234003246,93,False,1,1450400,Acting,Jamila Webb,Jamila Webb,0.618,/vwyF3kPejevsj9rOtQMq56TgQIb.jpg,1255846,1,13
Shawn,59c70f599251415b28051af2,145,False,2,141956,Acting,Marc Evan Jackson,Marc Evan Jackson,1.698,/4TWP0nlhkxkZ5XzzZuz3RCoZjFX.jpg,1255846,1,13
Bambadjan,59a362b1925141775b04b5a9,178,False,2,965219,Acting,Bambadjan Bamba,Bambadjan Bamba,0.833,/6Uk5XX0zRDYJeeIkjgtScS5zjFG.jpg,1255846,1,13
