job,department,credit_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Writer,Writing,587bd8de9251413eec01207b,False,0,1230225,Writing,Daniel Schofield,Daniel Schofield,0.6,,1366209,2,3
Editor,Editing,59c71262c3a368144305325f,False,2,1293989,Editing,Matthew Freund,Matthew Freund,0.84,,1366209,2,3
Stunts,Crew,5fb3aba59b6e47003eabac5e,False,0,1835530,Acting,Nicole Harbeck,Nicole Harbeck,0.6,,1366209,2,3
Director of Photography,Camera,59c71172c3a3681430052cab,False,2,35488,Camera,David J. Miller,David J. Miller,0.766,,1371788,2,4
Writer,Writing,587bd97fc3a368494c010f2d,False,2,1708292,Writing,Andrew Law,Andrew Law,0.608,/ambF0ZmnMhHxZAd7cNHFLwur8Tt.jpg,1371788,2,4
Director,Directing,587bd7a89251413eec011fe9,False,1,87673,Directing,Beth McCarthy-Miller,Beth McCarthy-Miller,1.4,/AdsQpucZeQSiZsP3UCQTq8kAdkR.jpg,1371788,2,4
Editor,Editing,5fb3aae2c15f8900408a72e3,False,2,224530,Editing,Eric Kissack,Eric Kissack,1.052,,1371788,2,4
Director,Directing,587bd9009251413f4601206d,False,2,1290146,Directing,Dean Holland,Dean Holland,0.6,,1371807,2,5
Writer,Writing,587bd85bc3a3684a650130e8,False,2,74356,Writing,Josh Siegal,Josh Siegal,1.38,/nArp3Xx33u9SXeftDx40GqDcQ33.jpg,1371807,2,5
Writer,Writing,587bd84ec3a36846c300f7b6,False,2,74357,Writing,Dylan Morgan,Dylan Morgan,0.677,,1371807,2,5
Director,Directing,587bd9009251413f4601206d,False,2,1290146,Directing,Dean Holland,Dean Holland,0.6,,1379271,2,6
Writer,Writing,5ba6b6910e0a2635f3016f74,False,0,1087679,Acting,Kate Gersten,Kate Gersten,0.6,,1379271,2,6
Director,Directing,5b07d8d60e0a267b8a0043f4,False,1,1711826,Directing,Jude Weng,Jude Weng,1.166,/5z3euqstdxG10KzbrUNMCqKeUoS.jpg,1379276,2,7
Writer,Writing,5ba6b6650e0a2635f60165b5,False,0,1893777,Writing,Cord Jefferson,Cord Jefferson,0.6,,1379276,2,7
Director,Directing,587bd9329251413ecb012768,False,1,1214860,Directing,Linda Mendoza,Linda Mendoza,0.851,,1389172,2,8
